unique_article_identifier,lastname,publication_year,invasive_species_common_name,invasive_species_latin_name,invasive_species_taxonomic_group,invasive_species_trophic_position,island_or_continent,study_design,SCImago_journal_rank,time_since_invasion,country,mean_control,SD_control,sample_size_control,mean_invaded,SD_invaded,sample_size_invaded
36026-Ellis-2000,Ellis,2000,saltcedar,Tamarix ramosissima,tree,producer,continent,CI,0.248,93,usa,65.5,0.707,2,60,7.07,2
22735-Bailey-2001,Bailey,2001,saltcedar,Tamarix ramosissima,tree,producer,continent,CI,0.961,NA,usa,6,0.174,10,3.4,0.256,10
22688-Holmes-2002,Holmes,2002,coojong,Acacia saligna,tree,producer,continent,CI,1.03,NA,south africa,5.09,0.63,4,3.07,1.47,4
22607-Frappier-2003,Frappier,2003,glossy buckthorn,Rhamnus frangula,tree,producer,continent,CI,0.198,86,usa,5.28,2.98,6,3.43,4.73,6
22607-Frappier-2003,Frappier,2003,glossy buckthorn,Rhamnus frangula,tree,producer,continent,CI,0.198,86,usa,3.34,2.21,6,1.87,2.34,6
32587-Marchante-2003,Marchante,2003,Acacia longifolia,Acacia longifolia,tree,producer,continent,CI,NA,99,portugal,10.49,0.84,3,8.97,1.72,3
34828-Greenwood-2004,Greenwood,2004,white crack willow,Salix rubens,tree,producer,continent,CI,1.487,NA,australia,4.6,3.19757721,5,0.29,0.3354102,5
22524-Harris-2004,Harris,2004,furze,Ulex europaeus,tree,producer,island,CI,0.356,NA,new zealand,126.85,63.85,2,234.7,18.38,2
27553-Wearne-2004,Wearne,2004,common broom,Cytisus scoparius,tree,producer,continent,space-for-time,1.491,21,australia,4.59,4,6,8.2,1.46,6
22286-Catling-2005,Catling,2005,scots pine,Pinus sylvestris,tree,producer,continent,CI,0.266,NA,canada,12.5,4.95,2,7,1.41,2
22286-Catling-2005,Catling,2005,scots pine,Pinus sylvestris,tree,producer,continent,CI,0.266,NA,canada,0.5,0.71,2,1,0,2
34751-Hejda-2006,Hejda,2006,himalayan balsam,Impatiens glandulifera,tree,producer,continent,CI,2.095,111,czech republic,9.2,3.1,10,9,2.8,10
30989-Jager-2007,Jager,2007,quinine,Cinchona pubescens,tree,producer,island,CI,2.421,58,galapagos islands,9.45,1.8794148,42,6.38,1.8794148,42
30989-Jager-2007,Jager,2007,quinine,Cinchona pubescens,tree,producer,island,CI,2.421,58,galapagos islands,6.98,1.8794148,42,5.14,1.8794148,42
21716-Lopezaraiza-Mikel-2007,Lopezaraiza-Mikel,2007,himalayan balsam,Impatiens glandulifera,tree,producer,island,CI,7.969,164,uk,61.16,13.54,4,39.54,13.1,4
31713-Mason-2007,Mason,2007,bitou bush,Chrysanthemoides monilifera,tree,producer,continent,CI,2.421,20,australia,4.16,1.07331263,5,1.17,0.84970583,5
38258-Porazinska-2007,Porazinski,2007,broad-leaved paperbark,Melaleuca quinquenervia,tree,producer,continent,CI,0.518,206,usa,23.82,8.83,6,19.9,7.72,6
35553-Sullivan-2007,Sullivan,2007,furze,Ulex europaeus,tree,producer,island,space-for-time,0.724,NA,new zealand,17.3,1.96,6,12.7,4.165,6
35553-Sullivan-2007,Sullivan,2007,furze,Ulex europaeus,tree,producer,island,space-for-time,0.724,NA,new zealand,1,0.98,6,1.7,0.98,6
21880-Wilcox-2007,Wilcox,2007,chinese privet,Ligustrum sinense,tree,producer,continent,CI,0.297,154,usa,2.62,1.31928011,5,4.83,1.27455875,5
38084-Hartman-2008,Hartman,2008,amur honeysuckle,Lonicera maackii,tree,producer,continent,CI + space-for-time,0.558,102,usa,14.5,2.5,4,8.5,4.78046023,12
38084-Hartman-2008,Hartman,2008,amur honeysuckle,Lonicera maackii,tree,producer,continent,CI + space-for-time,0.558,102,usa,19,3.74,4,18.16,3.4294606,12
38084-Hartman-2008,Hartman,2008,amur honeysuckle,Lonicera maackii,tree,producer,continent,CI + space-for-time,0.558,102,usa,11,3.14,4,7.16,3.49874263,12
38084-Hartman-2008,Hartman,2008,amur honeysuckle,Lonicera maackii,tree,producer,continent,CI + space-for-time,0.558,102,usa,8.75,2.36,4,3.66,3.56802466,12
38084-Hartman-2008,Hartman,2008,amur honeysuckle,Lonicera maackii,tree,producer,continent,CI + space-for-time,0.558,102,usa,28.5,6.1,4,32.5,9.52627944,12
30731-Mason-2008,Mason,2008,bitou bush,Chrysanthemoides monilifera,tree,producer,continent,CI,2.426,NA,australia,6.21,2.30893915,17,3.1,2.08,16
30731-Mason-2008,Mason,2008,bitou bush,Chrysanthemoides monilifera,tree,producer,continent,CI,2.426,NA,australia,7.4,3.50463978,17,1.95,1.6,16
30731-Mason-2008,Mason,2008,bitou bush,Chrysanthemoides monilifera,tree,producer,continent,CI,2.426,NA,australia,3.85,1.73170436,17,0.87,0.92,16
30731-Mason-2008,Mason,2008,bitou bush,Chrysanthemoides monilifera,tree,producer,continent,CI,2.426,NA,australia,11.54,8.06380803,10,5.97,4.67653718,12
34679-Piqueray-2008,Piqueray,2008,rockspray cotoneaster,Cotoneaster horizontalis,tree,producer,continent,CI,0.198,25,belgium,11.93,1.81,15,8.2,2.27,15
36547-Hanula-2009,Hanula,2009,chinese privet,Ligustrum sinense,tree,producer,continent,CI,0.254,NA,usa,24,4.58993464,3,16.3,7.04,4
